carat,cut,colour,clarity,Length,Width,height,depth ratio,table,Grading,price
1.0,Fair,F,SI1,6.45,6.37,3.93,61.3,62.0,Mid  ,5040
1.09,Premium,H,SI1,6.73,6.71,4.0,59.5,58.0,Mid  ,5706
0.78,Very Good,H,SI2,5.85,5.89,3.68,62.7,56.0,Mid  ,2316
1.13,Ideal,G,VS1,6.7,6.75,4.1,61.0,56.4,High  ,7808
0.3,Ideal,H,SI1,4.27,4.28,2.66,62.2,57.0, Low  ,450
0.3,Ideal,F,VVS1,4.26,4.3,2.64,61.7,58.0, Low  ,814
0.96,Fair,E,SI2,6.49,6.46,3.73,57.7,67.0,Mid  ,3674
0.31,Ideal,H,VS2,4.34,4.32,2.73,63.0,57.0, Low  ,628
0.54,Ideal,F,SI1,5.23,5.28,3.23,61.5,55.0,Mid  ,1260
0.46,Very Good,I,VS2,4.87,4.92,3.05,62.3,57.0, Low  ,918
0.59,Very Good,H,SI2,5.38,5.43,3.31,61.2,60.0,Mid  ,1254
1.0,Fair,H,SI2,6.08,6.02,4.1,67.8,53.0,Mid  ,2530
0.72,Ideal,E,VVS2,5.76,5.74,3.57,62.1,57.0,Mid  ,3093
1.52,Premium,J,VS1,7.32,7.38,4.57,62.2,59.0,High  ,8426
1.5,Premium,I,SI1,7.34,7.3,4.48,61.2,61.0,High  ,8736
0.4,Ideal,I,SI1,4.72,4.77,2.95,62.2,55.0, Low  ,654
0.31,Ideal,F,VVS1,4.42,4.37,2.72,61.9,55.0,Mid  ,1028
0.31,Premium,I,VVS2,4.3,4.33,2.68,62.1,58.0, Low  ,544
0.3,Very Good,G,VVS1,4.27,4.3,2.66,62.1,61.0, Low  ,789
1.04,Good,F,SI1,6.36,6.41,4.03,63.1,57.0,Mid  ,4828
0.38,Premium,H,VS2,4.62,4.67,2.83,60.9,60.0, Low  ,700
1.2,Premium,I,SI1,6.85,6.79,4.27,62.6,59.0,Mid  ,5712
1.01,Premium,G,SI1,6.52,6.58,3.88,59.2,59.0,Mid  ,4260
0.37,Very Good,H,SI1,4.6,4.5,2.85,62.6,63.0, Low  ,613
0.37,Very Good,H,SI1,4.6,4.5,2.85,62.6,63.0, Low  ,491
1.3,Ideal,G,IF,6.95,6.99,4.34,62.3,56.0,High  ,12467
0.93,Very Good,E,VS2,6.22,6.29,3.84,61.4,58.0,Mid  ,5616
0.3,Good,F,VS1,4.28,4.26,2.72,63.7,56.0, Low  ,731
1.5,Fair,E,SI1,7.45,7.4,4.32,58.2,66.0,High  ,11128
1.12,Ideal,G,SI2,6.71,6.65,4.14,62.1,57.0,Mid  ,4222
1.37,Premium,H,VS1,7.24,7.17,4.39,60.9,59.0,High  ,8577
0.25,Ideal,E,VS2,4.08,4.11,2.48,60.6,57.0, Low  ,535
0.32,Very Good,H,VVS1,4.34,4.37,2.74,62.9,58.0, Low  ,730
2.0,Very Good,E,SI2,8.03,8.08,4.87,60.5,60.0,High  ,16064
0.51,Very Good,D,VS2,5.1,5.07,3.23,63.5,56.0,Mid  ,1793
0.33,Ideal,I,VS2,4.45,4.48,2.78,62.3,54.0, Low  ,480
0.63,Ideal,E,VS1,5.46,5.5,3.4,61.9,55.0,Mid  ,2565
0.32,Premium,I,VVS2,4.35,4.38,2.71,62.1,59.0, Low  ,561
1.51,Good,J,SI1,7.31,7.23,4.54,62.4,64.0,High  ,7162
0.51,Premium,E,VS2,5.2,5.19,3.15,60.6,60.0,Mid  ,1614
1.01,Premium,H,VS2,6.41,6.45,3.94,61.3,59.0,Mid  ,5166
0.32,Ideal,D,VS2,4.39,4.43,2.74,62.1,56.0, Low  ,758
0.77,Very Good,F,VVS2,5.77,5.72,3.65,63.5,59.0,Mid  ,3415
1.19,Ideal,E,SI2,6.8,6.84,4.22,61.9,56.0,Mid  ,5497
1.59,Very Good,I,SI2,7.51,7.56,4.64,61.6,57.0,High  ,7835
0.5,Premium,I,SI2,5.23,5.18,3.11,59.8,56.0, Low  ,900
0.52,Ideal,G,SI1,5.2,5.24,3.2,61.3,55.0,Mid  ,1389
0.36,Very Good,H,VVS2,4.58,4.64,2.81,61.3,55.0, Low  ,668
1.2,Premium,G,SI1,6.74,6.68,4.21,62.5,60.0,Mid  ,5868
1.5,Good,I,SI1,7.12,7.16,4.49,62.9,60.0,High  ,8161
0.41,Good,E,SI2,4.68,4.75,3.01,63.8,57.0, Low  ,638
0.83,Ideal,E,VS1,5.99,6.03,3.74,62.2,56.0,Mid  ,5151
0.41,Ideal,E,VVS1,4.77,4.8,2.94,61.4,57.0,Mid  ,1221
0.73,Premium,E,SI1,5.83,5.76,3.55,61.3,58.0,Mid  ,2821
0.77,Ideal,F,VS1,5.91,5.95,3.61,60.9,58.0,Mid  ,3655
0.3,Premium,D,VS1,4.34,4.29,2.64,61.2,59.0, Low  ,732
0.3,Premium,D,VS1,4.34,4.29,2.64,61.2,59.0, Low  ,914
0.28,Very Good,F,VVS2,4.2,4.23,2.59,61.6,56.0, Low  ,707
0.43,Very Good,I,IF,4.9,4.93,3.0,61.0,56.0, Low  ,998
0.7,Premium,G,VS2,5.66,5.63,3.49,61.8,60.0,Mid  ,2479
0.9,Premium,F,SI2,6.31,6.26,3.7,58.9,59.0,Mid  ,3803
0.7,Ideal,F,SI1,5.73,5.68,3.55,62.2,55.0,Mid  ,2697
0.71,Very Good,E,VVS1,5.66,5.7,3.58,63.0,57.0,Mid  ,3808
0.73,Premium,F,SI2,5.79,5.76,3.58,62.0,57.0,Mid  ,2329
1.61,Premium,H,SI1,7.59,7.53,4.64,61.4,58.0,High  ,9341
1.32,Premium,J,VS2,7.11,7.14,4.3,60.4,58.0,Mid  ,5800
0.36,Premium,G,VS2,4.51,4.55,2.83,62.5,58.0, Low  ,589
1.03,Good,J,SI1,6.38,6.29,4.03,63.6,57.0,Mid  ,2855
1.59,Ideal,I,SI1,7.43,7.48,4.65,62.4,58.0,High  ,9209
0.54,Ideal,E,VVS2,5.23,5.26,3.26,62.2,54.0,Mid  ,2616
0.39,Ideal,G,SI2,4.71,4.73,2.89,61.2,56.0, Low  ,603
0.55,Ideal,H,SI1,5.3,5.33,3.23,60.8,56.0,Mid  ,1584
1.0,Good,G,SI2,6.63,6.53,3.78,57.4,60.0,Mid  ,3941
0.41,Ideal,G,VS1,4.74,4.77,2.93,61.6,57.0, Low  ,899
0.34,Good,H,VS2,4.41,4.46,2.8,63.1,56.0, Low  ,537
0.32,Ideal,H,VVS2,4.38,4.42,2.72,61.8,55.0, Low  ,645
1.2,Very Good,F,SI1,6.65,6.74,4.25,63.5,57.0,High  ,6872
0.51,Ideal,G,VVS2,5.16,5.17,3.16,61.2,56.0,Mid  ,2303
0.5,Good,J,VS2,5.01,5.06,3.18,63.2,60.0, Low  ,965
1.25,Ideal,H,SI2,6.93,6.89,4.23,61.2,57.0,Mid  ,5810
0.75,Ideal,E,SI1,5.84,5.91,3.6,61.3,57.0,Mid  ,3053
0.31,Very Good,G,VS1,4.29,4.27,2.7,63.1,59.0, Low  ,802
2.0,Good,H,VS2,8.27,8.24,4.73,57.3,59.0,High  ,14042
0.56,Ideal,G,IF,5.29,5.32,3.26,61.4,57.0,Mid  ,2442
0.71,Premium,E,SI1,5.76,5.74,3.55,61.7,61.0,Mid  ,2629
0.56,Very Good,D,SI1,5.33,5.39,3.21,59.9,60.0,Mid  ,1723
0.57,Ideal,F,SI2,5.32,5.27,3.32,62.7,56.0,Mid  ,1432
1.1,Very Good,D,VVS2,6.64,6.65,4.1,61.7,56.0,High  ,11132
0.57,Ideal,F,VS1,5.3,5.39,3.31,61.9,56.0,Mid  ,1949
0.71,Very Good,D,SI1,5.71,5.87,3.53,61.0,58.0,Mid  ,2683
0.5,Ideal,E,SI1,5.05,5.08,3.15,62.2,57.0,Mid  ,1331
0.76,Very Good,F,SI2,5.79,5.83,3.68,63.3,55.0,Mid  ,2347
2.2,Premium,H,SI1,8.42,8.37,0.0,61.2,59.0,High  ,17265
1.01,Premium,G,SI2,6.41,6.37,3.96,62.0,58.0,Mid  ,4327
1.37,Ideal,J,SI1,7.13,7.16,4.44,62.1,55.0,Mid  ,6339
0.73,Ideal,E,SI1,5.92,5.95,3.51,59.1,59.0,Mid  ,2846
0.7,Very Good,F,VS2,5.77,5.8,3.41,58.9,58.0,Mid  ,2362
0.4,Premium,G,SI1,4.76,4.74,2.83,59.6,61.0, Low  ,840
0.3,Fair,F,SI1,4.27,4.25,2.75,64.6,56.0, Low  ,599
0.7,Premium,F,SI2,5.77,5.71,3.42,59.6,60.0,Mid  ,2139
1.01,Very Good,F,SI1,6.44,6.47,3.96,61.3,59.0,Mid  ,4969
0.75,Ideal,E,VS1,5.88,5.83,3.66,62.0,55.0,Mid  ,3402
1.2,Very Good,J,SI2,6.81,6.85,4.22,61.8,56.0,Mid  ,4102
0.32,Ideal,H,VS1,4.46,4.44,2.72,61.1,56.0, Low  ,720
0.72,Good,H,SI1,5.63,5.68,3.6,63.7,59.0,Mid  ,2277
0.36,Very Good,F,SI1,4.6,4.65,2.79,60.3,58.0, Low  ,600
2.0,Ideal,F,I1,8.27,8.16,4.94,60.3,56.0,High  ,10685
0.71,Ideal,H,VS2,5.75,5.78,3.56,61.8,55.0,Mid  ,3080
1.19,Ideal,F,VS1,6.82,6.88,4.15,60.5,57.0,High  ,10449
0.4,Premium,H,VVS2,4.79,4.74,2.9,60.9,58.0,Mid  ,1125
1.13,Premium,I,SI2,6.8,6.76,4.06,59.9,57.0,Mid  ,4271
0.7,Premium,D,VS1,5.69,5.64,3.54,62.5,59.0,Mid  ,3365
0.3,Very Good,G,VVS2,4.28,4.32,2.71,63.0,57.0, Low  ,684
0.84,Very Good,D,VS1,6.12,6.15,3.69,60.1,58.0,Mid  ,4869
2.53,Premium,J,SI2,8.77,8.67,5.46,62.6,57.0,High  ,16934
0.7,Very Good,G,VS1,5.7,5.61,3.57,63.1,57.0,Mid  ,2497
0.29,Premium,G,VVS1,4.23,4.19,2.61,62.0,58.0, Low  ,669
1.03,Ideal,G,SI1,6.58,6.54,4.01,61.1,57.0,Mid  ,5241
0.3,Very Good,J,SI1,4.29,4.23,2.7,63.4,54.0, Low  ,450
1.11,Premium,H,SI2,6.6,6.67,4.09,61.6,60.0,Mid  ,4578
0.34,Ideal,F,VVS2,4.49,4.47,2.77,61.8,56.0, Low  ,914
0.6,Ideal,D,VS1,5.4,5.43,3.35,61.9,54.9,Mid  ,2527
0.71,Premium,D,VS2,5.73,5.68,3.56,62.4,59.0,Mid  ,3161
2.03,Premium,G,SI1,8.11,8.08,4.96,61.3,59.0,High  ,18423
1.2,Very Good,J,SI1,6.79,6.84,4.12,60.5,59.0,Mid  ,4455
0.3,Very Good,E,VS2,4.25,4.28,2.67,62.6,58.0, Low  ,658
0.32,Premium,H,VS1,4.4,4.44,2.68,60.6,60.0, Low  ,561
0.42,Ideal,D,VVS2,4.82,4.8,2.97,61.7,57.0,Mid  ,1210
1.0,Very Good,E,VS2,6.44,6.46,3.83,59.4,59.0,Mid  ,6377
0.6,Very Good,G,SI1,5.28,5.3,3.36,63.5,59.9,Mid  ,1565
1.5,Very Good,G,SI2,7.29,7.25,4.59,63.1,57.0,High  ,9282
1.5,Very Good,G,SI2,7.29,7.25,4.59,63.1,57.0,High  ,9384
0.4,Ideal,G,SI2,4.73,4.76,2.97,62.6,54.0, Low  ,573
2.32,Ideal,H,SI1,8.46,8.52,5.32,62.6,57.0,High  ,18080
2.01,Fair,F,I1,8.3,8.19,4.84,58.7,66.0,High  ,7294
0.58,Good,E,SI1,5.48,5.42,3.23,59.3,64.0,Mid  ,1287
0.58,Good,E,SI1,5.48,5.42,3.23,59.3,64.0,Mid  ,1336
0.37,Ideal,H,SI1,4.63,4.67,2.83,60.9,57.0, Low  ,552
1.0,Fair,D,SI2,6.24,6.21,4.14,66.5,59.0,Mid  ,3965
1.02,Very Good,E,IF,6.43,6.33,4.05,63.5,58.0,High  ,10710
1.2,Ideal,G,VS2,6.86,6.81,4.23,61.9,56.0,High  ,7548
1.03,Ideal,J,SI2,6.44,6.48,4.03,62.4,56.0,Mid  ,4054
0.72,Fair,D,SI1,5.62,5.54,3.66,65.6,60.0,Mid  ,2364
1.03,Ideal,D,SI2,6.61,6.53,3.99,60.7,55.0,Mid  ,4839
0.91,Very Good,J,VS2,6.23,6.28,3.85,61.6,58.0,Mid  ,3112
0.93,Premium,G,VS2,6.26,6.21,3.88,62.2,59.0,Mid  ,4750
0.32,Ideal,F,VS2,4.38,4.41,2.75,62.6,55.0, Low  ,645
1.21,Ideal,J,SI1,6.85,6.88,4.25,61.9,54.0,Mid  ,5341
0.31,Premium,G,VVS1,4.35,4.32,2.65,61.1,58.0,Mid  ,1046
0.32,Ideal,I,VS2,4.39,4.38,2.74,62.5,55.0, Low  ,576
1.0,Premium,F,SI2,6.46,6.42,3.86,59.9,61.0,Mid  ,4333
0.36,Ideal,G,SI2,4.62,4.64,2.81,60.7,58.0, Low  ,505
1.23,Premium,J,VS1,6.9,6.95,4.16,60.1,60.0,Mid  ,5209
0.3,Ideal,G,VVS2,4.32,4.3,2.65,61.5,55.0, Low  ,878
0.33,Premium,F,SI2,4.42,4.4,2.78,63.0,58.0, Low  ,557
0.32,Ideal,H,VS2,4.41,4.43,2.74,62.0,54.0, Low  ,523
1.02,Good,G,VS1,6.71,6.65,3.83,57.3,59.0,Mid  ,5706
0.31,Very Good,G,VS2,4.33,4.37,2.74,63.0,54.0, Low  ,544
0.9,Premium,D,SI2,6.27,6.05,3.84,62.3,58.0,Mid  ,3740
1.51,Very Good,H,VS2,7.27,7.3,4.54,62.3,61.0,High  ,9821
1.23,Ideal,H,SI1,6.94,6.9,4.27,61.7,55.0,High  ,6750
0.57,Ideal,H,SI1,5.34,5.39,3.29,61.3,54.0,Mid  ,1292
0.41,Premium,G,SI1,4.75,4.82,2.94,61.4,60.0, Low  ,719
1.52,Premium,H,SI2,7.37,7.34,4.56,62.0,58.0,High  ,7764
1.52,Premium,H,SI2,7.37,7.34,4.56,62.0,58.0,High  ,7906
1.0,Very Good,E,SI1,6.3,6.36,4.01,63.3,57.0,Mid  ,5051
0.3,Ideal,G,VS1,4.31,4.33,2.67,61.8,55.0, Low  ,605
0.34,Very Good,H,VVS2,4.44,4.48,2.81,63.0,55.0, Low  ,686
0.32,Good,F,SI1,4.38,4.4,2.71,61.6,60.1, Low  ,528
0.3,Ideal,F,IF,4.28,4.32,2.65,61.6,58.0, Low  ,886
0.34,Premium,H,VS2,4.51,4.56,2.73,60.2,60.0, Low  ,537
1.04,Ideal,F,VVS2,6.47,6.51,4.0,61.6,57.0,High  ,10804
0.4,Very Good,J,VS2,4.7,4.75,2.97,62.9,57.0, Low  ,596
0.7,Very Good,E,SI1,5.61,5.66,3.55,63.0,55.0,Mid  ,2537
0.5,Very Good,F,VVS2,5.11,5.15,3.17,61.8,56.0,Mid  ,2052
0.33,Ideal,H,VVS1,4.48,4.5,2.79,62.1,53.0, Low  ,730
0.9,Good,E,SI2,6.07,6.09,3.9,64.1,57.0,Mid  ,3139
2.29,Ideal,J,SI2,8.36,8.39,5.25,62.8,56.0,High  ,14500
1.02,Very Good,E,I1,6.47,6.52,3.92,60.4,62.0,Mid  ,3455
0.56,Very Good,E,VS1,5.25,5.29,3.27,62.0,58.9,Mid  ,2027
2.03,Very Good,I,SI2,7.99,8.05,5.04,62.8,60.0,High  ,13063
0.42,Very Good,F,SI1,4.83,4.87,2.94,60.6,61.0, Low  ,722
0.5,Ideal,J,VS2,5.08,5.12,3.14,61.6,57.0,Mid  ,1099
0.91,Premium,H,SI2,6.14,6.17,3.86,62.7,58.0,Mid  ,3423
0.91,Premium,G,SI2,6.24,6.2,3.73,60.1,62.0,Mid  ,3047
0.31,Premium,G,SI2,4.37,4.33,2.71,62.3,57.0, Low  ,523
0.71,Ideal,D,SI1,5.8,5.76,3.54,61.2,53.0,Mid  ,2531
0.7,Premium,G,VS1,5.66,5.58,3.52,62.6,60.0,Mid  ,2535
0.32,Ideal,E,VS2,4.41,4.42,2.75,62.3,57.0, Low  ,702
1.56,Ideal,H,VS2,7.51,7.45,4.61,61.6,57.0,High  ,11922
0.7,Good,E,VS2,5.85,5.9,3.38,57.5,58.0,Mid  ,2759
0.75,Fair,F,SI1,5.65,5.54,3.61,64.5,60.0,Mid  ,2363
0.52,Ideal,G,SI2,5.13,5.18,3.2,62.1,56.0,Mid  ,1210
0.52,Good,H,SI1,5.34,5.32,3.07,57.6,61.0,Mid  ,1056
0.88,Very Good,H,VS2,6.08,6.15,3.87,63.2,57.0,Mid  ,3472
1.02,Very Good,H,VS1,6.44,6.47,3.97,61.4,56.5,Mid  ,6204
0.54,Ideal,I,SI1,5.24,5.26,3.26,62.1,54.0,Mid  ,1057
1.01,Very Good,J,SI2,6.34,6.37,3.99,62.8,59.0,Mid  ,3906
2.06,Premium,I,SI2,8.14,8.1,5.05,62.2,60.0,High  ,11190
1.5,Premium,H,VS1,7.44,7.39,4.44,59.9,60.0,High  ,11189
0.54,Very Good,G,SI1,5.29,5.34,3.21,60.4,56.0,Mid  ,1404
0.29,Very Good,G,VS2,4.21,4.24,2.64,62.5,56.0, Low  ,471
1.05,Very Good,G,SI1,6.57,6.61,3.97,60.2,58.0,Mid  ,5438
0.31,Ideal,E,VS1,4.34,4.37,2.69,61.8,56.0, Low  ,734
1.11,Ideal,H,SI1,6.65,6.69,4.11,61.6,56.0,Mid  ,5358
1.04,Premium,G,SI2,6.57,6.49,4.06,62.2,59.0,Mid  ,3861
1.72,Fair,J,I1,7.31,7.24,4.98,68.5,59.0,Mid  ,5240
1.01,Good,G,SI1,6.51,6.61,3.83,58.4,61.0,Mid  ,5051
0.35,Premium,G,VS1,4.54,4.5,2.78,61.5,58.0, Low  ,906
0.79,Ideal,F,SI1,5.88,5.92,3.69,62.5,57.0,Mid  ,2976
1.02,Ideal,G,VVS2,6.43,6.45,4.0,62.1,57.0,High  ,8401
0.7,Very Good,G,SI1,5.63,5.7,3.54,62.5,57.0,Mid  ,2106
0.41,Premium,G,SI2,4.75,4.8,2.93,61.4,58.0, Low  ,611
0.34,Premium,E,SI1,4.59,4.55,2.71,59.3,58.0, Low  ,612
0.34,Premium,E,SI1,4.59,4.55,2.71,59.3,58.0, Low  ,765
0.42,Premium,G,VVS2,4.82,4.78,2.9,60.4,59.0,Mid  ,1103
0.32,Premium,G,VVS1,4.41,4.38,2.75,62.6,58.0,Mid  ,1080
0.37,Good,G,VS1,4.57,4.59,2.89,63.1,56.0, Low  ,746
0.3,Very Good,E,SI1,4.32,4.27,2.71,63.1,53.0, Low  ,675
0.5,Very Good,F,VS1,5.13,5.16,3.08,59.9,61.0,Mid  ,1550
0.43,Ideal,H,SI1,4.88,4.84,2.99,61.5,57.0,Mid  ,1045
0.25,Ideal,G,VVS2,4.07,4.1,2.53,61.9,55.0, Low  ,525
2.01,Very Good,H,SI2,8.0,7.93,5.05,63.4,57.0,High  ,16111
0.3,Ideal,G,VVS2,4.32,4.35,2.64,60.9,57.0, Low  ,684
2.0,Good,H,SI2,8.01,7.97,5.08,63.6,57.0,High  ,13480
0.31,Premium,H,VVS2,4.31,4.28,2.68,62.4,58.0, Low  ,802
0.41,Very Good,D,VS2,4.78,4.82,2.98,62.1,53.0, Low  ,912
0.34,Premium,E,SI2,4.46,4.42,2.77,62.4,59.0, Low  ,612
2.2,Very Good,I,SI2,8.42,8.49,5.09,60.2,60.0,High  ,15424
0.81,Very Good,F,VVS2,5.99,5.9,3.75,63.1,56.0,Mid  ,3992
0.88,Ideal,I,SI1,6.14,6.18,3.8,61.7,56.0,Mid  ,3328
1.01,Ideal,D,VS2,6.52,6.49,3.89,59.8,56.0,High  ,7127
0.32,Ideal,G,VS2,4.41,4.37,2.72,62.0,57.0, Low  ,672
1.4,Premium,D,SI2,7.21,7.16,4.44,61.8,54.0,High  ,8419
0.38,Ideal,G,VVS2,4.67,4.71,2.86,61.0,56.0, Low  ,943
0.4,Ideal,J,VS2,4.75,4.7,2.97,62.9,57.0, Low  ,765
1.03,Ideal,G,SI2,6.48,6.52,4.01,61.7,55.0,Mid  ,4391
0.3,Ideal,E,VVS2,4.28,4.31,2.65,61.7,55.0, Low  ,789
0.58,Ideal,H,SI1,5.36,5.38,3.32,61.8,56.0,Mid  ,1421
1.8,Ideal,H,SI1,7.79,7.71,4.82,62.2,57.0,High  ,9399
0.7,Ideal,D,SI2,5.67,5.71,3.53,62.1,56.0,Mid  ,2575
0.94,Very Good,F,SI2,6.17,6.23,3.87,62.4,58.0,Mid  ,3518
0.7,Premium,H,SI1,6.65,5.69,3.46,62.0,61.0,Mid  ,2176
1.5,Premium,I,VS2,7.28,7.24,4.46,61.4,58.0,High  ,11655
0.58,Ideal,E,VS2,5.39,5.41,3.3,61.1,57.0,Mid  ,1884
2.02,Premium,I,VS2,8.29,8.25,4.89,59.2,58.0,High  ,13068
0.51,Ideal,D,VS2,5.14,5.11,3.17,61.9,56.0,Mid  ,1882
0.46,Ideal,F,SI2,4.97,5.0,3.06,61.4,56.0, Low  ,881
0.3,Ideal,F,VS1,4.31,4.34,2.68,61.9,55.1, Low  ,652
2.03,Premium,J,SI2,8.08,8.02,5.05,62.7,59.0,High  ,12380
2.03,Premium,J,SI2,8.08,8.02,5.05,62.7,59.0,High  ,12531
0.5,Premium,F,VVS2,5.06,5.11,3.17,62.3,58.0,Mid  ,2052
0.3,Ideal,G,VVS2,4.34,4.36,2.64,60.7,58.0, Low  ,655
1.2,Premium,H,VS2,6.88,6.82,4.16,60.7,60.0,Mid  ,6250
2.53,Premium,H,SI2,8.9,8.82,5.29,59.6,59.0,High  ,17591
1.5,Good,G,VS2,7.41,7.45,4.38,59.0,58.0,High  ,11294
1.2,Ideal,D,VVS2,6.81,6.83,4.22,61.9,56.0,High  ,16130
0.78,Very Good,H,SI2,5.81,5.85,3.65,62.6,59.0,Mid  ,2405
0.62,Very Good,D,VS1,5.46,5.43,3.45,63.4,55.0,Mid  ,2310
1.03,Premium,H,SI1,6.64,6.6,3.88,58.6,61.0,Mid  ,4406
1.02,Very Good,H,VS2,6.35,6.4,3.98,62.4,57.0,Mid  ,5565
1.21,Ideal,F,SI2,6.82,6.87,4.23,61.8,57.0,Mid  ,5996
0.34,Premium,H,VS2,4.47,4.53,2.76,61.3,60.0, Low  ,537
0.4,Premium,D,VVS2,4.76,4.81,2.91,60.8,59.0,Mid  ,1263
0.4,Ideal,I,VS1,4.72,4.75,2.91,61.5,59.0, Low  ,736
0.9,Very Good,G,VS2,6.09,6.16,3.84,62.7,59.0,Mid  ,4543
0.57,Very Good,E,VS2,5.33,5.35,3.26,61.0,57.0,Mid  ,1785
0.31,Ideal,F,VVS1,4.34,4.32,2.7,62.4,55.0, Low  ,985
1.01,Premium,D,SI2,6.49,6.44,3.99,61.7,57.0,Mid  ,5006
0.3,Premium,G,VS1,4.3,4.27,2.67,62.3,59.0, Low  ,776
0.4,Very Good,D,VS1,4.74,4.76,2.89,60.8,59.0, Low  ,954
1.11,Premium,G,SI1,6.73,6.63,4.1,61.5,58.0,Mid  ,4768
0.31,Good,J,VS1,4.29,4.34,2.67,61.9,61.0, Low  ,412
0.76,Ideal,G,VS2,5.92,5.88,3.63,61.5,55.0,Mid  ,3183
0.51,Premium,F,VVS2,5.15,5.17,3.12,60.5,59.0,Mid  ,2093
0.9,Premium,E,VS2,6.15,6.08,3.83,62.6,60.0,Mid  ,5312
0.72,Good,J,VS1,5.68,5.71,3.63,63.7,54.0,Mid  ,1959
1.2,Premium,F,VVS2,6.83,6.78,4.23,62.2,58.0,High  ,11021
1.05,Very Good,E,VS1,6.49,6.45,4.08,63.1,59.0,High  ,7969
0.41,Premium,H,VS1,4.77,4.75,2.98,62.6,60.0,Mid  ,1061
0.55,Ideal,F,VS1,5.29,5.23,3.24,61.6,57.0,Mid  ,1980
1.05,Ideal,H,VS2,6.52,6.55,4.03,61.7,57.0,Mid  ,5728
1.5,Very Good,E,SI1,7.21,7.23,4.62,64.0,58.0,High  ,11194
1.18,Ideal,D,SI1,6.8,6.76,4.2,61.9,55.0,High  ,7216
0.96,Good,G,SI1,6.53,6.56,3.77,57.6,59.0,Mid  ,4234
2.01,Good,G,SI2,7.92,7.99,5.01,63.0,60.0,High  ,14745
2.01,Good,G,SI2,7.95,8.0,5.07,63.6,59.0,High  ,15832
0.31,Good,G,VVS1,4.33,4.35,2.74,63.1,56.0, Low  ,816
1.58,Fair,H,SI1,7.28,7.22,4.69,64.7,58.0,High  ,7333
1.57,Premium,E,VS1,7.44,7.48,4.58,61.4,58.0,High  ,17175
1.54,Premium,I,VS1,7.42,7.39,4.56,61.6,58.0,High  ,10349
1.03,Ideal,F,SI1,6.51,6.55,4.0,61.3,56.0,Mid  ,6059
1.52,Ideal,D,SI2,7.35,7.28,4.59,62.7,56.0,High  ,8631
0.32,Ideal,G,VS2,4.41,4.39,2.73,62.0,57.0, Low  ,720
1.23,Ideal,G,VS2,6.89,6.92,4.25,61.5,54.0,High  ,7988
0.23,Very Good,G,VVS1,4.0,4.01,2.41,60.2,59.0, Low  ,415
0.4,Ideal,D,VS1,4.71,4.67,2.95,62.9,56.0,Mid  ,1200
1.3,Good,J,SI2,6.9,6.94,4.35,62.9,56.0,Mid  ,5124
0.5,Ideal,H,SI1,5.12,5.16,3.15,61.3,54.0,Mid  ,1666
0.74,Very Good,E,SI2,5.76,5.9,3.6,61.7,56.0,Mid  ,2179
0.32,Ideal,E,VS2,4.37,4.38,2.72,62.2,55.0, Low  ,702
0.75,Ideal,E,SI1,5.88,5.84,3.6,61.5,56.0,Mid  ,2652
1.65,Ideal,J,SI1,7.59,7.54,4.73,62.5,56.0,High  ,8334
0.9,Fair,G,SI2,6.01,5.97,3.98,65.4,57.0,Mid  ,2376
0.54,Premium,H,VS1,5.25,5.22,3.21,61.3,58.0,Mid  ,1637
1.75,Ideal,I,VS2,7.82,7.75,4.75,61.0,56.0,High  ,12238
0.4,Very Good,D,VS2,4.81,4.87,2.86,59.1,57.0, Low  ,982
0.32,Ideal,E,VS2,4.36,4.38,2.72,62.2,55.0, Low  ,702
0.51,Good,E,VVS2,5.03,5.07,3.2,63.4,64.0,Mid  ,1906
0.32,Ideal,D,VS1,4.44,4.46,2.69,60.4,56.0, Low  ,706
0.91,Very Good,D,SI2,6.16,6.22,3.88,62.7,59.0,Mid  ,3298
0.71,Ideal,G,SI1,5.73,5.79,3.53,61.3,55.0,Mid  ,3007
0.79,Ideal,G,SI1,5.9,5.85,3.66,62.3,57.0,Mid  ,2898
0.41,Very Good,D,SI2,4.75,4.78,2.99,62.7,58.0, Low  ,683
0.43,Ideal,D,SI2,4.88,4.84,3.04,62.6,56.0, Low  ,919
0.34,Ideal,E,SI1,4.48,4.45,2.81,62.9,56.0, Low  ,765
1.0,Ideal,E,I1,6.35,6.32,3.99,63.0,57.0,Mid  ,3360
0.7,Ideal,D,VS2,5.74,5.76,3.51,61.0,57.0,Mid  ,2833
0.54,Premium,D,VS2,5.3,5.26,3.2,60.6,58.0,Mid  ,1993
2.0,Very Good,J,VS2,8.09,8.12,4.93,60.8,62.0,High  ,13043
2.01,Premium,I,SI2,8.11,8.06,5.02,62.1,56.0,High  ,14428
0.52,Good,E,SI2,5.12,5.15,3.27,63.7,56.0,Mid  ,1120
1.09,Ideal,H,SI2,6.61,6.55,4.08,62.0,57.0,Mid  ,4264
2.1,Ideal,H,SI1,8.3,8.19,5.09,61.7,53.0,High  ,15035
0.74,Very Good,D,SI2,5.79,5.82,3.57,61.5,59.0,Mid  ,2740
2.18,Ideal,J,VS2,8.41,8.45,5.08,60.3,57.0,High  ,16427
0.9,Very Good,E,VS1,6.14,6.2,3.77,61.1,59.0,Mid  ,5151
